Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
cell adhesion molecules	38/133	0.49876901986733424	0.9818140766931915	3.2309216325928856	-0.05929813804525428	ITGB1;CNTNAP2;CNTNAP1;NLGN2;NRXN1;ITGB2;SDC3;NRXN3;NRXN2;F11R;PVR;GLG1;PTPRF;SPN;ALCAM;CDH2;ITGAV;NCAM1;NRCAM;NEO1;CD99;HLA-DPA1;JAM3;CADM1;NEGR1;HLA-B;HLA-C;HLA-A;L1CAM;HLA-G;HLA-E;CLDN11;CLDN10;MAG;NFASC;CLDN14;CNTN1;CNTN2
pyrimidine metabolism	25/84	0.4405795798261384	0.9815443803721564	3.2715114132122345	-0.060941876228953216	PRIM2;AK3;POLR2B;POLR2C;POLD2;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;POLR2L;RFC5;DUT;RRM1;PNPT1;ENTPD3;ENTPD4;POLR3GL;TXNRD1;ENTPD6;NME4;NME1;DCTD;POLE4
focal adhesion	54/192	0.5293145167983309	0.9818140766931915	3.767134464307581	-0.0691394236387824	ITGB1;GSK3B;PTEN;PIK3CB;ARHGAP5;ELK1;ACTB;ACTG1;CRKL;MYLK;PPP1CB;PPP1CC;CCND3;CCND2;CCND1;AKT3;CAPN2;TNR;ITGAV;RAC1;HRAS;MAP2K1;PDPK1;ACTN1;PRKCA;PGF;RHOA;TLN2;BIRC2;BIRC3;SHC3;ROCK2;PDGFA;PIK3R2;PIK3R1;CDC42;RAP1B;MAPK9;MAPK8;PAK1;PAK7;SPP1;MAPK1;PAK6;FYN;PIP5K1C;PAK3;PAK2;MAPK3;JUN;PTK2;MAPK10;CTNNB1;GRB2
thyroid cancer	16/29	0.02548497158795172	0.2571714877401377	0.060453620374347844	-0.0820967509278328	TCF7L2;MAP2K1;MAP2K2;TPM3;NCOA4;RXRB;RXRA;CCND1;TFG;TPR;CCDC6;CTNNB1;MAPK1;KRAS;HRAS;MAPK3
adherens junction	30/75	0.06579481053991348	0.3859962218341591	0.0870636517089227	-0.08287830151240706	WASL;ACVR1B;NLK;MLLT4;ACTB;PTPRF;ACTG1;CDC42;CTNNA1;MAPK1;FYN;CTNNA2;RAC1;WASF1;ACP1;WASF2;WASF3;MAPK3;SMAD2;TCF7L2;CREBBP;CSNK2A1;ACTN1;SORBS1;BAIAP2;RHOA;TJP1;CSNK2B;CTNNB1;SSX2IP
glycerophospholipid metabolism	18/62	0.49845725298987925	0.9818140766931915	4.64171431360185	-0.08519086732342221	CDS1;SH3GLB1;PLA2G12A;PLA2G2D;CHKB;AGPAT1;DGKZ;AGPAT3;AGPAT4;GNPAT;PTDSS1;DGKQ;PPAP2B;PPAP2A;CHPT1;GPD1L;CDIPT;CDS2
adipocytokine signaling pathway	20/71	0.5411134399956794	0.9818140766931915	4.828131327566481	-0.08861223840111918	ADIPOQ;STAT3;ACSL6;SLC2A1;IRS2;PTPN11;ACSL3;TYK2;CPT1C;ACACB;CAMKK2;MAPK10;NFKBIA;RXRB;MAPK9;MAPK8;RXRA;LEP;AKT3;JAK1
glycerolipid metabolism	16/55	0.5009118356591006	0.9818140766931915	5.14430284683489	-0.09441503541310053	AGK;AKR1B1;AGPAT1;DGKZ;LIPA;ADH5;AGPAT3;AGPAT4;ADH4;ALDH2;DGKQ;PPAP2B;PPAP2A;ALDH7A1;MGLL;ALDH9A1
ppar signaling pathway	19/67	0.5319170878894247	0.9818140766931915	5.1544526841187075	-0.09460131862291941	PDPK1;ADIPOQ;ACSL6;DBI;ACSL3;SORBS1;CPT1C;RXRB;RXRA;FABP5;SCP2;SCD;FABP7;UBC;ME1;ACADM;ANGPTL4;ACAA1;PPARD
mapk signaling pathway	81/248	0.12924981834033047	0.5809193000540741	0.23259297750052899	-0.1263313476250367	ATF2;PTPRR;ARRB1;FGF1;ELK1;CRKL;ELK4;PPP3CA;PPP3CB;FGF9;RPS6KA2;AKT3;STMN1;RAC1;HRAS;PRKACB;MAP3K4;MAP3K5;MAP2K4;MAP2K1;MEF2C;PLA2G12A;DUSP3;MAP2K2;DUSP1;CACNA2D1;PRKCA;DUSP8;MAPK8IP2;MAPK8IP3;CDC25B;CACNB2;PPM1A;CACNB3;PPM1B;MRAS;RASA1;RASA2;RAPGEF2;MAPT;ATF4;MAX;SRF;CACNA1B;CACNA1A;PDGFA;CACNA1C;ACVR1B;NLK;STK4;CACNA1E;RASGRP1;CDC42;RAP1B;MAPK9;MAPK8;PAK1;MKNK1;GNA12;MKNK2;MAPK1;PAK2;CACNG4;MAP4K4;MAPK3;MAP3K2;NTRK2;JUN;PLA2G2D;JUND;MAPK10;MAPK11;FGF14;TAOK1;GRB2;KRAS;FGF13;MAP3K13;FGFR3;PTPN5;FGFR2
histidine metabolism	12/40	0.4775401944739591	0.9818140766931915	7.052743710833357	-0.12944126095289069	PRPS1;ALDH2;MAOB;PRMT2;MAOA;WBSCR22;HARS;ALDH7A1;HARS2;LCMT1;CNDP1;ALDH9A1
leukocyte transendothelial migration	33/110	0.4056827302047678	0.9465295074484319	2.5068421021625116	-0.1377588286789724	ITGB1;ROCK2;ITGB2;PIK3R2;PIK3CB;PIK3R1;THY1;ARHGAP5;F11R;MLLT4;GNAI1;GNAI2;CDC42;RAP1B;RASSF5;CTNNA1;CTNNA2;PLCG1;RAC1;CD99;JAM3;ACTN1;PRKCA;PTPN11;PTK2;RHOA;CLDN11;CLDN10;MAPK11;CLDN14;CTNNB1;EZR;RAPGEF4
glutathione metabolism	11/37	0.49346578106188377	0.9818140766931915	8.047468423768377	-0.14769776174499122	GSTM3;GSTM2;GPX1;GPX4;GSTA4;GSS;GSTP1;MGST3;GSR;IDH2;MGST1
bile acid biosynthesis	11/38	0.5239391197930161	0.9818140766931915	8.204294100702308	-0.15057603355018065	HADHB;ADH4;ALDH2;RDH11;SRD5A1;AKR1D1;ACAA1;ALDH7A1;LIPA;ADH5;ALDH9A1
chronic myeloid leukemia	23/75	0.3976972621816192	0.9458745695130404	2.871793402798752	-0.15980183153533853	MAP2K1;CDKN1B;MAP2K2;SHC3;CTBP2;CTBP1;PIK3R2;PTPN11;PIK3CB;PIK3R1;ACVR1B;CRKL;BCR;NFKBIA;CCND1;AKT3;MDM2;MAPK1;GRB2;KRAS;HRAS;BCL2L1;MAPK3
calcium signaling pathway	51/169	0.35469500919410935	0.90472929881396	2.146349249913433	-0.2148914080589807	CHRM2;CHRM3;RYR2;CHRM1;ATP2A2;HTR2A;SLC8A1;MYLK;PPP3CA;GRM5;PPP3CB;PRKACB;SPHK2;F2R;PRKCA;ITPKB;ADCY9;VDAC3;VDAC2;VDAC1;PLCB1;SLC25A5;SLC25A4;PPID;SLC25A6;CAMK2B;CAMK2D;PDE1A;CAMK2A;CACNA1B;ADCY3;CACNA1A;ADCY2;ADCY1;CACNA1C;CACNA1E;GRIN2A;ERBB4;GNA11;PLCG1;CAMK2G;ATP2B4;ATP2B3;ATP2B2;ATP2B1;GRIN2C;GNAQ;GNAS;CALM3;CALM1;CALM2
phenylalanine metabolism	7/24	0.5376413041674282	0.9818140766931915	12.141297219615433	-0.2228331109348007	SH3GLB1;GOT1;MAOB;MAOA;GOT2;MIF;PRDX6
nitrogen metabolism	7/24	0.5376413041674282	0.9818140766931915	12.813495777566416	-0.23517018605327383	GLUD1;GLUD2;CA2;ASNS;GLUL;ASRGL1;GLS
purine metabolism	47/139	0.15455204968658304	0.6230344267071429	0.49776009584220043	-0.23551693258294076	GUCY1B3;PRIM2;PRPS1;GDA;PDE1A;AK1;ADCY3;ADCY2;ADCY1;AK5;PAPSS1;ATIC;GUK1;POLR2B;POLR2C;POLD2;PDE4B;POLR2E;PDE4A;POLR2F;POLR2G;POLR2H;PDE8B;POLR2I;ADSS;POLR2J;POLR2L;GUCY1A3;RFC5;GUCY1A2;ADSL;RRM1;PNPT1;ENTPD3;ENTPD4;POLR3GL;ENTPD6;PDE2A;PDE4C;AMPD2;NME4;PAICS;NME1;POLE4;ADCY9;HPRT1;GART
melanogenesis	32/100	0.29265200020422283	0.8537006574215422	1.511671882869616	-0.23910819348323253	CAMK2B;GSK3B;CAMK2D;CAMK2A;ADCY3;ADCY2;ADCY1;GNAI1;GNAI2;MAPK1;CAMK2G;HRAS;PRKACB;MAPK3;TCF7L2;CREBBP;FZD3;MAP2K1;MAP2K2;PRKCA;GNAO1;KITLG;ADCY9;CREB1;GNAQ;GNAS;CTNNB1;CALM3;KRAS;CALM1;PLCB1;CALM2
fc epsilon ri signaling pathway	23/74	0.3766312496915532	0.9092553308202304	2.8392573416257316	-0.2700966550117311	MAP2K4;MAP2K1;PLA2G12A;PLA2G2D;MAP2K2;PRKCE;PIK3R2;PRKCA;PIK3CB;PIK3R1;MAPK10;MAPK11;MAPK9;MAPK8;AKT3;MAPK1;FYN;GRB2;KRAS;PLCG1;RAC1;HRAS;MAPK3
3 chloroacrylic acid degradation	5/15	0.4568528711671643	0.9818140766931915	14.933800423575207	-0.27408481534315915	ADH4;ALDH2;ALDH7A1;ADH5;ALDH9A1
glioma	25/62	0.08260125118791302	0.4543068815335216	0.3634760398283295	-0.28677618326306936	CAMK2B;CAMK2D;SHC3;CAMK2A;PTEN;PDGFA;PIK3R2;PIK3CB;PIK3R1;CCND1;AKT3;MAPK1;PLCG1;CAMK2G;HRAS;MAPK3;MAP2K1;MAP2K2;PRKCA;MDM2;CALM3;GRB2;KRAS;CALM1;CALM2
colorectal cancer	27/84	0.30670434385869383	0.8537006574215422	1.8829329106914043	-0.2978322821423934	GSK3B;PIK3R2;PIK3CB;PIK3R1;ACVR1B;MAPK9;MAPK8;CCND1;AKT3;MAPK1;RAC1;RALGDS;APPL1;MAPK3;SMAD2;TCF7L2;FZD3;JUN;MAP2K1;MAPK10;APC;MSH3;BAX;CTNNB1;CYCS;GRB2;KRAS
dorso ventral axis formation	9/28	0.42712690739562986	0.963773534636293	8.122624793078591	-0.29971620058706244	CPEB1;MAP2K1;ERBB4;MAPK1;SPIRE1;GRB2;KRAS;FMN2;MAPK3
alzheimers disease	9/28	0.42712690739562986	0.963773534636293	8.836446577690532	-0.32605546389545415	BACE1;APP;GSK3B;APOE;MAPT;NAE1;A2M;GAPDH;SNCA
cyanoamino acid metabolism	2/6	0.5531901248552847	0.9934843058625522	50.307041755377774	-0.3288578328222091	SHMT2;ASRGL1
riboflavin metabolism	5/16	0.5037987921897109	0.9818140766931915	17.96188899429068	-0.3296602933331474	MTMR1;RFK;PHPT1;ACP1;LHPP
prostate cancer	29/86	0.2278002061332695	0.756468609046329	1.2577203882412622	-0.3510225178965083	GSK3B;CDKN1B;GSTP1;PTEN;PDGFA;PIK3R2;PIK3CB;PIK3R1;HSP90B1;CCND1;AKT3;MAPK1;HRAS;MAPK3;TCF7L2;CREBBP;MAP2K1;MAP2K2;PDPK1;SRD5A1;NFKBIA;CREB1;MDM2;CTNNB1;GRB2;KRAS;FGFR2;ATF4;CREB5
glycolysis and gluconeogenesis	25/63	0.09234176114950249	0.47800441065624816	0.5408457039757738	-0.3992173163523425	GPI;ENO1;PDHB;ENO2;ADH5;HK1;ADH4;LDHB;LDHA;ALDH2;PGK1;PGM1;PDHA1;TPI1;PGAM1;ACYP2;ALDOC;ALDOA;ALDH7A1;DLD;GAPDH;PFKM;LDHAL6A;PFKP;ALDH9A1
pancreatic cancer	27/73	0.13532779148986954	0.5809193000540741	0.7591145501098311	-0.4123080806123233	RALA;RALB;PIK3R2;PIK3CB;PIK3R1;ACVR1B;CDC42;MAPK9;MAPK8;CCND1;AKT3;MAPK1;RAC1;RALGDS;JAK1;MAPK3;SMAD2;MAP2K1;RALBP1;STAT1;STAT3;PGF;MAPK10;RAD51;KRAS;ARHGEF6;BCL2L1
ascorbate and aldarate metabolism	3/9	0.5105214795372185	0.9818140766931915	22.89640304095863	-0.42022500780155086	ALDH2;ALDH7A1;ALDH9A1
vegf signaling pathway	22/68	0.3221216033382684	0.858211112113798	2.8793739307281565	-0.4402711268129625	NFAT5;MAP2K1;PLA2G12A;PLA2G2D;MAP2K2;SPHK2;PIK3R2;PRKCA;PIK3CB;PIK3R1;PTK2;CDC42;MAPK11;PPP3CA;PPP3CB;AKT3;MAPK1;KRAS;PLCG1;RAC1;HRAS;MAPK3
endometrial cancer	22/52	0.07247600076755181	0.41147664951900387	0.5179556598989256	-0.45994618258418085	GSK3B;TCF7L2;MAP2K1;MAP2K2;PDPK1;PTEN;PIK3R2;PIK3CB;PIK3R1;FOXO3;ELK1;APC;CCND1;AKT3;CTNNA1;CTNNB1;MAPK1;GRB2;KRAS;CTNNA2;HRAS;MAPK3
thiamine metabolism	3/8	0.4478928116740251	0.9818140766931915	26.821783255758824	-0.492268766309717	MTMR1;PHPT1;LHPP
synthesis and degradation of ketone bodies	3/9	0.5105214795372185	0.9818140766931915	29.307613558985395	-0.5378920048899452	HMGCS1;OXCT1;ACAT1
pyruvate metabolism	19/41	0.05183114471026066	0.34078199888160826	0.5041819555215044	-0.5427580793829355	PDHA1;MDH1;MDH2;GLO1;AKR1B1;ACYP2;PDHB;ACACB;ACACA;ACAT1;LDHB;LDHA;ALDH2;ME1;ME2;ALDH7A1;DLD;LDHAL6A;ALDH9A1
fructose and mannose metabolism	13/40	0.3771343133515728	0.9092553308202304	5.824565836445063	-0.5540870587019844	MTMR1;PFKFB3;TPI1;SORD;AKR1B1;HK1;RDH11;ALDOC;ALDOA;PHPT1;PFKM;PFKP;LHPP
fatty acid metabolism	15/45	0.3312029938411782	0.858211112113798	4.068029823288084	-0.6220227442827655	ACADVL;ECHS1;ACSL6;HSD17B4;ACSL3;CPT1C;ADH5;ACAT1;HADHB;ADH4;ALDH2;ACADM;ACAA1;ALDH7A1;ALDH9A1
butanoate metabolism	19/45	0.09165957163469017	0.47800441065624816	0.8775727809379084	-0.6477674647954434	ECHS1;PDHA1;HMGCS1;GAD1;GAD2;HSD17B4;ABAT;DDHD1;PDHB;PRDX6;AACS;ACAT1;ALDH5A1;ALDH2;OXCT1;PPME1;RDH11;ALDH7A1;ALDH9A1
alkaloid biosynthesis i	2/5	0.47685709202200977	0.9818140766931915	38.965966085753905	-0.7151548377746992	GOT1;GOT2
vitamin b6 metabolism	2/5	0.47685709202200977	0.9818140766931915	39.469894123647286	-0.7244035902218129	PDXK;PSAT1
non small cell lung cancer	20/53	0.16172307512783188	0.6230344267071429	1.6207952186520567	-0.7668849339884475	MAP2K1;MAP2K2;PDPK1;PIK3R2;PRKCA;PIK3CB;PIK3R1;FOXO3;STK4;RXRB;RXRA;CCND1;RASSF5;AKT3;MAPK1;GRB2;KRAS;PLCG1;HRAS;MAPK3
arginine and proline metabolism	12/34	0.3006068804357477	0.8537006574215422	4.9418933281194315	-0.781682321053924	ALDH4A1;GLUD1;GATM;GLUD2;OAT;GOT1;P4HA1;RARS;GOT2;ASL;CKB;EPRS
ether lipid metabolism	11/30	0.27816974509356107	0.8537006574215422	5.036360541509508	-0.79662464087416	PLA2G12A;PLA2G2D;PPAP2B;PPAP2A;ENPP2;CHPT1;AGPAT1;AGPAT3;PAFAH1B2;AGPAT4;PAFAH1B1
glutamate metabolism	16/30	0.03135673512326205	0.2571714877401377	0.5935241270538227	-0.8060129753465195	GOT1;GAD1;GPT2;GSS;GOT2;GSR;GAD2;ABAT;EPRS;GLS;ALDH4A1;GLUD1;GLUD2;ALDH5A1;QARS;GLUL
alkaloid biosynthesis ii	5/14	0.408728650943641	0.9465295074484319	14.766349689818972	-0.8114571856674913	SH3GLB1;PPME1;DDHD1;LIPA;PRDX6
olfactory transduction	11/31	0.307767451538983	0.8537006574215422	5.705435237514244	-0.9024553066951992	CAMK2B;CAMK2D;ADRBK2;CAMK2A;ADCY3;CALM3;CALM1;CALM2;CAMK2G;PRKACB;CNGB1
alanine and aspartate metabolism	17/33	0.03360763760240436	0.2571714877401377	0.6896716061402245	-0.936582420054991	DARS;ADSL;PDHA1;GOT1;GAD1;GPT2;GOT2;ASNS;GAD2;ABAT;PDHB;ASRGL1;NARS;ASL;ADSS;DLD;AARS
type ii diabetes mellitus	17/42	0.1326722437529175	0.5809193000540741	1.8883778095638057	-1.0256600008780057	ABCC8;PRKCE;ADIPOQ;CACNA1B;CACNA1A;IRS2;PIK3R2;CACNA1C;PIK3CB;PIK3R1;CACNA1E;PRKCZ;MAPK10;MAPK9;MAPK8;MAPK1;MAPK3
beta alanine metabolism	9/24	0.28957959883995027	0.8537006574215422	6.573401044885978	-1.0397455074045625	ECHS1;ALDH2;GAD1;GAD2;ABAT;ACADM;ALDH7A1;CNDP1;ALDH9A1
snare interactions in vesicular transport	13/35	0.24154539500737182	0.7872590652092119	4.507801880675281	-1.0782567616623677	SNAP25;STX12;STX16;GOSR1;STX7;VAMP7;STX6;VAMP1;SEC22B;VAMP4;VAMP2;VAMP3;VTI1B
urea cycle and metabolism of amino groups	10/28	0.3152871746159105	0.8537006574215422	6.889664249289831	-1.0897703337753961	GATM;ALDH2;MAOB;MAOA;AMD1;ASL;SAT2;ALDH7A1;SAT1;ALDH9A1
inositol phosphate metabolism	19/46	0.10405330109783892	0.48193107876893815	1.4998754390396762	-1.0948403241004836	INPP1;ITPK1;PTEN;PIK3CB;SYNJ2;INPP4A;ITPKB;INPP5A;IMPA1;SYNJ1;PI4KA;PIP4K2A;PIK3C3;PIP4K2B;PI4KB;PIP4K2C;PIP5K1C;PLCG1;PLCB1
valine leucine and isoleucine degradation	17/44	0.16679922238974929	0.6230344267071429	2.3982004004312776	-1.1347169183441586	ECHS1;HMGCS1;HSD17B4;ABAT;MUT;ACAT1;HADHB;ALDH6A1;ALDH2;OXCT1;DBT;ACADM;ACAA1;BCAT1;ALDH7A1;DLD;ALDH9A1
propanoate metabolism	16/33	0.05486459358881923	0.34486315970114945	1.2256710967718603	-1.3048587392052409	ECHS1;ABAT;ACACB;MUT;ACACA;ACAT1;LDHB;ALDH6A1;LDHA;SUCLA2;ALDH2;SUCLG1;ACADM;ALDH7A1;LDHAL6A;ALDH9A1
biosynthesis of steroids	8/22	0.3315815660439674	0.858211112113798	9.32648962525381	-1.426068372954081	FDPS;IDI1;SQLE;CYP51A1;PMVK;HSD17B7;LSS;FDFT1
polyunsaturated fatty acid biosynthesis	5/13	0.36004848738987494	0.9052647682945427	16.152755763300824	-1.6076485102642435	ELOVL5;SCD;FASN;HSD17B12;ACAA1
huntingtons disease	14/31	0.09872882261831983	0.48193107876893815	2.4835879164627532	-1.8129053444152015	CREBBP;DCTN1;CLTC;CLTB;CLTA;NCOR1;RASA1;BAX;CALM3;GRB2;CALM1;CALM2;GAPDH;UBE2K
dentatorubropallidoluysian atrophy	6/15	0.3066259238996773	0.8537006574215422	11.778294385097054	-1.8630277672348337	MAGI1;RERE;MAGI2;WWP1;BAIAP2;GAPDH
methane metabolism	4/10	0.370859467328862	0.9092553308202304	19.640605919917505	-1.8683977262645055	SHMT2;CAT;PRDX6;ADH5
citrate cycle	14/28	0.0596558709863958	0.36204942391743655	2.04101574405849	-2.0736200445958732	FH;MDH1;MDH2;IDH2;SDHC;SDHB;CS;ACLY;SUCLA2;IDH3B;SUCLG1;ACO2;DLD;IDH3A
carbon fixation	12/22	0.05227905664661036	0.34078199888160826	2.489846559346864	-2.6803504602053825	TPI1;GOT1;MDH1;MDH2;GPT2;RPE;GOT2;ME1;PGK1;ALDOC;ALDOA;TKT
one carbon pool by folate	7/16	0.22599356375652183	0.756468609046329	9.607447777253922	-2.681383351069576	DHFR;MTFMT;ATIC;MTHFD1;MTHFD2;SHMT2;GART
rna polymerase	10/23	0.16991848001103899	0.6230344267071429	5.950840688384653	-2.815661112501913	POLR2B;POLR3GL;POLR2C;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;POLR2L
phenylalanine tyrosine and tryptophan biosynthesis	4/9	0.3150292770830582	0.8537006574215422	18.792412615403798	-2.972483567750711	YARS;GOT1;GOT2;FARSB
prion disease	6/13	0.22374402944868962	0.756468609046329	11.62286195605757	-3.243873842805385	PRNP;HSPA5;APLP1;GFAP;HSPD1;NFE2L2
cysteine metabolism	8/17	0.16428380818736638	0.6230344267071429	7.390002090016023	-3.4966053698564417	CARS;LDHB;LDHA;GOT1;GOT2;CDO1;SULT4A1;LDHAL6A
fatty acid elongation in mitochondria	5/10	0.2183496910521878	0.756468609046329	12.66872953919591	-3.535769462731626	HADHB;ECHS1;MECR;PPT1;HSD17B4
parkinsons disease	9/17	0.09673655614297783	0.48193107876893815	5.083693877884401	-3.710863521076279	PINK1;UCHL1;UBB;UBA1;PARK7;UBE2G2;STX1A;SNCA;UBE2L3
taurine and hypotaurine metabolism	3/6	0.314928070875697	0.8537006574215422	25.37760957748496	-4.014094890404588	GAD1;GAD2;CDO1
glyoxylate and dicarboxylate metabolism	7/14	0.15868115614835748	0.6230344267071429	9.034598567645602	-4.274751952885907	CS;MDH1;MTHFD1;MDH2;MTHFD2;AFMID;ACO2
fatty acid biosynthesis	3/6	0.314928070875697	0.8537006574215422	29.346280815734495	-4.641838133538362	FASN;ACACB;ACACA
valine leucine and isoleucine biosynthesis	6/12	0.18541177496982708	0.6659688243814197	11.950875280974744	-4.85817922890413	PDHA1;LARS;IARS;PDHB;BCAT1;VARS2
reductive carboxylate cycle	7/12	0.1023585569340885	0.48193107876893815	8.809544714355102	-6.4305638583012374	ACLY;FH;SUCLA2;MDH1;MDH2;IDH2;ACO2
protein export	7/8	0.02940862953394762	0.2571714877401377	5.5569181134031655	-7.5463623097749615	SEC61A2;OXA1L;SRP19;SRP72;SRPR;SRP68;SRP9
terpenoid biosynthesis	4/6	0.15788391927061396	0.6230344267071429	18.255208153842688	-8.637515670639687	FDPS;IDI1;SQLE;FDFT1
